smiles,pIC50,mol,num_atoms,logP,molecular_weight,fingerprint
Cl.c1cc(Nc2ncnc3cc4c(cc23)OCCO4)cc(-c2ccco2)c1,5.0,<rdkit.Chem.rdchem.Mol object at 0x794efc2cdb60>,27,4.826400000000002,381.81900000000013,[0 0 0 ... 0 0 0]
Cl.c1cc(Nc2ncnc3cc4c(cc23)OCCO4)cc(-c2cccs2)c1,5.0,<rdkit.Chem.rdchem.Mol object at 0x794efc2cdbd0>,27,5.294900000000003,397.8870000000001,[0 0 0 ... 0 0 0]
Cl.c1ccc(-c2cccc(Nc3ncnc4cc5c(cc34)OCCO5)c2)nc1,5.0,<rdkit.Chem.rdchem.Mol object at 0x794efc2cdc40>,28,4.628400000000002,392.84600000000023,[0 0 0 ... 0 0 0]
c1ccc(-c2ccnc(Nc3ncnc4cc5c(cc34)OCCO5)n2)cc1,5.0,<rdkit.Chem.rdchem.Mol object at 0x794efc2cdcb0>,27,3.6016000000000012,357.37300000000016,[0 0 0 ... 0 0 0]
c1ccc(-c2csc(Nc3ncnc4cc5c(cc34)OCCO5)n2)cc1,5.0,<rdkit.Chem.rdchem.Mol object at 0x794efc2cdd20>,26,4.268100000000002,362.41400000000016,[0 0 0 ... 0 0 0]
Cl.c1cc(Nc2ncnc3cc4c(cc23)OCCO4)cc(-c2ccc[nH]2)c1,5.0,<rdkit.Chem.rdchem.Mol object at 0x794efc2cdd90>,27,4.561500000000002,380.8350000000001,[0 0 0 ... 0 0 0]
COc1cc2ncnc(Nc3cccc(-c4ccccc4)c3)c2cc1OC,5.0,<rdkit.Chem.rdchem.Mol object at 0x794efc2cde00>,27,5.057600000000003,357.4130000000001,[0 0 0 ... 0 0 0]
COc1cc2/c(=N/c3ccc(Br)cc3F)nc[nH]c2cc1OCC1CCN(C)CC1,6.721246399047171,<rdkit.Chem.rdchem.Mol object at 0x794efc2cde70>,30,4.426100000000003,475.3620000000003,[0 0 0 ... 0 0 0]
COc1ccc(/C=C\c2cc(OC)c(OC)c(OC)c2)cc1O,5.0,<rdkit.Chem.rdchem.Mol object at 0x794efc2cdee0>,23,3.5970000000000035,316.353,[0 0 0 ... 0 0 0]
CC(=O)O[C@H]1C(=O)[C@@]2(C)[C@H]([C@H](OC(=O)c3ccccc3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C)[C@]1(OC(C)=O)CO[C@@H]1C[C@@H]2O,5.0,<rdkit.Chem.rdchem.Mol object at 0x794efc2cdf50>,62,3.7357000000000036,853.918,[0 1 0 ... 0 0 0]
OB(O)c1ccc(COc2ccc3ncnc(Nc4cccc(Cl)c4)c3c2)cc1,6.070581074285707,<rdkit.Chem.rdchem.Mol object at 0x794efc2cdfc0>,29,3.2856000000000005,405.65000000000003,[0 0 0 ... 0 0 0]
OB(O)/C=C/COc1ccc2ncnc(Nc3cccc(Cl)c3)c2c1,6.568636235841013,<rdkit.Chem.rdchem.Mol object at 0x794efc2ce030>,25,2.9738000000000007,355.5900000000001,[0 0 0 ... 0 0 0]
CC1(C)[C@H]2CC3OB(COc4ccc5ncnc(Nc6cccc(Cl)c6)c5c4)O[C@@]3(C)[C@@H]1C2,6.698970004336019,<rdkit.Chem.rdchem.Mol object at 0x794efc2ce0a0>,33,5.673100000000005,463.77400000000017,[0 0 0 ... 0 0 0]
COc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCn1ccnc1[N+](=O)[O-],9.113509274827518,<rdkit.Chem.rdchem.Mol object at 0x794efc2ce110>,33,4.748300000000003,472.8640000000003,[0 0 0 ... 0 0 0]
COc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCCn1ccnc1[N+](=O)[O-],9.508638306165727,<rdkit.Chem.rdchem.Mol object at 0x794efc2ce180>,34,5.138400000000003,486.89100000000036,[0 0 0 ... 0 0 0]
COc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCCCn1ccnc1[N+](=O)[O-],9.2839966563652,<rdkit.Chem.rdchem.Mol object at 0x794efc2ce1f0>,35,5.528500000000004,500.9180000000004,[0 0 0 ... 0 0 0]
COc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCCCCn1ccnc1[N+](=O)[O-],8.84163750790475,<rdkit.Chem.rdchem.Mol object at 0x794efc2ce260>,36,5.918600000000004,514.9450000000004,[0 0 0 ... 0 0 0]
COc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCOCCn1ccnc1[N+](=O)[O-],9.494850021680094,<rdkit.Chem.rdchem.Mol object at 0x794efc2ce2d0>,35,4.374800000000003,502.8900000000004,[0 0 0 ... 0 0 0]
C#Cc1cccc(Nc2ncnc3cc(OCCCn4ccnc4[N+](=O)[O-])c(OC)cc23)c1,9.187086643357144,<rdkit.Chem.rdchem.Mol object at 0x794efc2ce340>,33,3.9371000000000027,444.45100000000014,[0 0 0 ... 0 0 0]
C#Cc1cccc(Nc2ncnc3cc(OCCCCn4ccnc4[N+](=O)[O-])c(OC)cc23)c1,9.585026652029182,<rdkit.Chem.rdchem.Mol object at 0x794efc2ce3b0>,34,4.327200000000003,458.4780000000002,[0 0 0 ... 0 0 0]
C#Cc1cccc(Nc2ncnc3cc(OCCCCCn4ccnc4[N+](=O)[O-])c(OC)cc23)c1,9.327902142064282,<rdkit.Chem.rdchem.Mol object at 0x794efc2ce420>,35,4.717300000000003,472.5050000000002,[0 0 0 ... 0 0 0]
C#Cc1cccc(Nc2ncnc3cc(OCCCCCCn4ccnc4[N+](=O)[O-])c(OC)cc23)c1,9.244125144327509,<rdkit.Chem.rdchem.Mol object at 0x794efc2ce490>,36,5.107400000000005,486.53200000000027,[0 0 0 ... 0 0 0]
C#Cc1cccc(Nc2ncnc3cc(OCCOCCn4ccnc4[N+](=O)[O-])c(OC)cc23)c1,9.267606240177031,<rdkit.Chem.rdchem.Mol object at 0x794efc2ce500>,35,3.5636000000000028,474.47700000000026,[0 0 0 ... 0 0 0]
COc1cc2c(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)ncnc2cc1OCCCn1ccnc1[N+](=O)[O-],7.515700160653214,<rdkit.Chem.rdchem.Mol object at 0x794efc2ce570>,41,6.327300000000005,578.9880000000003,[0 0 0 ... 0 0 0]
COc1cc2c(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)ncnc2cc1OCCCCn1ccnc1[N+](=O)[O-],7.924453038607469,<rdkit.Chem.rdchem.Mol object at 0x794efc2ce5e0>,42,6.717400000000005,593.0150000000003,[0 0 0 ... 0 0 0]
COc1cc2c(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)ncnc2cc1OCCCCCn1ccnc1[N+](=O)[O-],7.779891911959945,<rdkit.Chem.rdchem.Mol object at 0x794efc2ce650>,43,7.107500000000005,607.0420000000004,[0 0 0 ... 0 0 0]
COc1cc2c(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)ncnc2cc1OCCCCCCn1ccnc1[N+](=O)[O-],7.449771646944906,<rdkit.Chem.rdchem.Mol object at 0x794efc2ce6c0>,44,7.497600000000006,621.0690000000003,[0 0 0 ... 0 0 0]
COc1cc2c(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)ncnc2cc1OCCOCCn1ccnc1[N+](=O)[O-],7.696803942579511,<rdkit.Chem.rdchem.Mol object at 0x794efc2ce730>,43,5.9538000000000055,609.0140000000004,[0 0 0 ... 0 0 0]
COc1cc2c(Nc3cccc(Br)c3)ncnc2cc1OCCCn1ccnc1[N+](=O)[O-],9.309803919971486,<rdkit.Chem.rdchem.Mol object at 0x794efc2ce7a0>,32,4.718300000000004,499.32500000000033,[0 0 0 ... 0 0 0]
COc1cc2c(Nc3cccc(Br)c3)ncnc2cc1OCCCCn1ccnc1[N+](=O)[O-],9.431798275933005,<rdkit.Chem.rdchem.Mol object at 0x794efc2ce810>,33,5.108400000000004,513.3520000000003,[0 0 0 ... 0 0 0]
COc1cc2c(Nc3cccc(Br)c3)ncnc2cc1OCCCCCn1ccnc1[N+](=O)[O-],9.481486060122112,<rdkit.Chem.rdchem.Mol object at 0x794efc2ce880>,34,5.498500000000004,527.3790000000004,[0 0 0 ... 0 0 0]
COc1cc2c(Nc3cccc(Br)c3)ncnc2cc1OCCCCCCn1ccnc1[N+](=O)[O-],9.10790539730952,<rdkit.Chem.rdchem.Mol object at 0x794efc2ce8f0>,35,5.888600000000005,541.4060000000004,[0 0 0 ... 0 0 0]
COc1cc2c(Nc3cccc(Br)c3)ncnc2cc1OCCOCCn1ccnc1[N+](=O)[O-],9.086186147616283,<rdkit.Chem.rdchem.Mol object at 0x794efc2ce960>,34,4.344800000000004,529.3510000000003,[0 0 0 ... 0 0 0]
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,9.346787486224656,<rdkit.Chem.rdchem.Mol object at 0x794efc2ce9d0>,31,4.275600000000003,446.9100000000004,[0 0 0 ... 0 0 0]
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCn1ccnc1[N+](=O)[O-],8.515700160653214,<rdkit.Chem.rdchem.Mol object at 0x794efc2cea40>,32,4.358200000000003,458.8370000000003,[0 0 0 ... 0 0 0]
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCn1ccnc1[N+](=O)[O-],9.050609993355087,<rdkit.Chem.rdchem.Mol object at 0x794efc2ceab0>,33,4.748300000000003,472.8640000000003,[0 0 0 ... 0 0 0]
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCCn1ccnc1[N+](=O)[O-],9.327902142064282,<rdkit.Chem.rdchem.Mol object at 0x794efc2ceb20>,34,5.138400000000003,486.89100000000036,[0 0 0 ... 0 0 0]
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCCCn1ccnc1[N+](=O)[O-],9.292429823902063,<rdkit.Chem.rdchem.Mol object at 0x794efc2ceb90>,35,5.528500000000004,500.9180000000004,[0 0 0 ... 0 0 0]
